	Name	Phone Number	Category
	Melanie Lyne	(416) 490-9804	Ladies Apparel
	Mexx / Mexx Kids	(416) 492-6399	Children's Apparel,  Unisex Apparel
	Michel's Baguette	(416) 502-9882	Restaurants
	Moneysworth & Best (shoe repair)	(416) 644-3183	Services
	Moxie's Classic Grill	(647) 426-6677	Restaurants
	Mr. Sub	(416) 493-3477	Fast Food
	Natural Solutions	(416) 491-4464	Health and Beauty
	New York Fries	(416) 498-0265	Fast Food
This store has a current promotion	Nine West	(416) 492-0333	Footwear
	Norma Reed	(416) 499-5796	Ladies Apparel
	North York Cleaners	(416) 499-0856	Services
	Nutrition House	(416) 498-0599	Health and Beauty
	Pandora	(416) 492-5777	Jewellery
	Payless Shoesource	(416) 494-5098	Footwear
This store has a current promotion	Peoples Jewellers	(416) 491-1741	Jewellery
This store has a current promotion	Personal Edge	(416) 490-9699	Electronics, Computers and Telephones
	Proactiv Solutions Skin Care	(877) 275-2561	Health and Beauty
This store has a current promotion	Purdys Chocolatier	(416) 493-2897	Specialty Food
	Quilts Etc.	(416) 502-3657	Housewares, Home Furnishings & Decor
This store has a current promotion	Ricki's	(416) 492-7238	Ladies Apparel
	Rogers Wireless	(416) 492-8800	Electronics, Computers and Telephones
	Royal Bank of Canada	(416) 491-2882	Services
	RW & Co.	(416) 493-5078	Unisex Apparel
	Sears/Sears Travel	(416) 502-3737	Dept. Stores and Supermarkets,  Services
	Sephora	(416) 492-5500	Health and Beauty
	Shefield Express	(416) 502-0250	General, Variety & Lottery
	Shoppers Drug Mart	(416) 491-5567	Pharmacies & Drug Stores
	Showcase	(416) 497-2970	Housewares, Home Furnishings & Decor
	SilverCity	(416) 644-7746	Cinemas
	Sirous Mowlazadeh (Real Estate and Mortgages)	(416) 409-7575	Services
	Soft Moc		Footwear
	Soft Moc	(416) 497-1717	Footwear
	Softron Tax	(416) 773-1999	Services
	Sport Chek	(416) 502-2931	Sporting Goods & Athleticwear
	Spring Rolls	(416) 756-7655	Restaurants
	Spring Rolls	(416) 498-7655	Fast Food
	St. Louis Bar & Grill	(416) 637-9464	Restaurants
	Starbucks Coffee	(416) 494-8348	Specialty Food
	Stars Men's Shops		
	Steve Madden	(416) 490-6446	Footwear
	Stitch It Clothing Alterations	(416) 499-4917	Services
This store has a current promotion	Strauss Men's Wear	(416) 496-0311	Men's Apparel
	Sunglass Hut	(416) 498-7601	Fashion Accessories
	Sunshine Spa & Nails	(416) 498-5431	Health and Beauty
	Suzy Shier	(416) 494-6360	Ladies Apparel
	Swarovski	(416) 916-0504	Jewellery
	Taco Bell	(416) 498-9950	Fast Food
	Tbooth Wireless	(416) 491-6745	Electronics, Computers and Telephones
	TD Canada Trust	(416) 491-0567	Services
	Teavana	(416) 644-1396	Specialty Food
	Telus Mobility	(416) 491-2597	Electronics, Computers and Telephones
	Ten Ren's Tea Time	(416) 493-7898	Specialty Food
	Teriyaki Experience	(416) 916-3061	Fast Food
This store has a current promotion	The Face Shop	(416) 491-4622	Health and Beauty
	The Source	(416) 491-1820	Electronics, Computers and Telephones
	Things Remembered	(416) 494-6006	Services
	Tim Hortons Donuts	(416) 502-2009	Fast Food
	Tip Top Tailors	(416) 756-1100	Men's Apparel
	Tommy Hilfiger	(416) 497-3659	Unisex Apparel
	Tonyc Salon & Spa	(416) 493-4571	Health and Beauty
	Town Shoes	(416) 491-7322	Footwear
	Toys Toys Toys	(416) 773-1950	Toys, Hobbies and Pets
	Trade Secrets	(416) 494-6709	Health and Beauty
	Travel Sensations	(416) 495-0606	Services
	True Religion Brand Jeans	(416) 499-2222	Unisex Apparel
	Tuxedo Royale	(647) 430-2212	Services
	Urban Planet	(416) 499-1237	Unisex Apparel
	Villa Madina	(416) 491-6831	Fast Food
	Virgin Mobile	(416) 499-0821	Electronics, Computers and Telephones
	WIND	(416) 572-0106	Electronics, Computers and Telephones
	WIRELESSWAVE	(416) 497-9283	Electronics, Computers and Telephones
	Yogen Fruz	(416) 499-5495	Specialty Food
	Young Drivers of Canada	(416) 322-7000	Services
	Z-Teca Gourmet Burritos	(416) 494-4224	Restaurants
	Zagg	(416) 901-9244	Electronics, Computers and Telephones
	Zara	(416) 642-1733	Unisex Apparel
	Zumiez	(416) 498-7736	Unisex Apparel
