Name	Phone Number	Category
	Sporting Life	(416) 620-7750	Footwear,  Ladies Apparel,  Men's Apparel,  Sporting Goods & Athleticwear,  Unisex Apparel
	Starbucks Coffee	(416) 621-4954	Specialty Food
	Stuart Weitzman	(647) 340-0552	Footwear
	Subway	(416) 622-7294	Fast Food
	Swarovski	(416) 626-6100	Cards, Stationery and Gifts,  Jewellery
This store has a current promotion	Ta-Ze	(416) 626-6553	Specialty Food
	Taco Bell/KFC Express	(416) 621-1844	Fast Food
	Tailor's Choice	(416) 695-7559	Services
	Talbots	(416) 695-2490	Ladies Apparel
	Tbooth Wireless	(416) 620-0404	Electronics, Computers and Telephones
	Telus		Electronics, Computers and Telephones
	Telus		Electronics, Computers and Telephones
	Teriyaki Experience	(416) 621-7043	Fast Food
	Thai Express	(416) 620-4888	Fast Food
This store has a current promotion	The Face Shop	(416) 622-1927	Health and Beauty
This store has a current promotion	Things Engraved	(416) 622-0107	Services
	Tiffany & Co.	(416) 695-2112	Jewellery
	Tim Hortons	(416) 622-0515	Fast Food
	Timothy's Coffees of the World	(416) 622-2745	Specialty Food
	Tip Top	(416) 621-8750	Men's Apparel
	Tip Top Tailoring	(416) 622-2660	Men's Apparel
	Toni Plus	(416) 622-0784	Ladies Apparel,  Specialty Apparel
	Tonyc	(416) 695-1777	Health and Beauty,  Services
	Total Image	(416) 620-7871	Personal Care & Health Service
	Town Shoes	(416) 621-2630	Footwear
	Trade Secrets	(416) 626-0608	Health and Beauty,  Services
	Tristan	(416) 620-0783	Ladies Apparel
	True Religion Brand Jeans	(416) 622-8412	Unisex Apparel
	Tuxedo Junction	(416) 622-9990	Services
	Victoria's Secret/ PINK by Victoria's Secret	(416) 622-4527	Specialty Apparel
	Villa Madina	(416) 620-7058	Fast Food
	Virgin Mobile	(416) 622-6008	Electronics, Computers and Telephones
	Watch Station	(416) 620-7942	Jewellery
	Williams-Sonoma	(416) 621-9005	Housewares, Home Furnishings & Decor
	Wind Mobile (Kiosk)	(416) 840-9961	Electronics, Computers and Telephones
	WIRELESSWAVE	(416) 916-1575	Electronics, Computers and Telephones
	WOW! mobile boutique	(416) 622-6015	Electronics, Computers and Telephones
	Yogen Fruz	(416) 626-9008	Specialty Food
